,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
492,Star Trek,(2009),127 min,7.9,82        ,"610,962",$257.73M,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
493,Jojo Rabbit,(2019),108 min,7.9,58        ,"412,113",$33.37M,A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.
494,The Lion in Winter,(1968),134 min,7.9,****,"32,735",$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision."
495,Shrek,(2001),90 min,7.9,84        ,"701,998",$267.67M,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
496,Shaun of the Dead,(2004),99 min,7.9,76        ,"572,671",$13.54M,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse."
497,In Bruges,(2008),107 min,7.9,67        ,"446,434",$7.76M,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
498,Mystic River,(2003),138 min,7.9,84        ,"468,564",$90.14M,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
499,Dallas Buyers Club,(2013),117 min,7.9,77        ,"501,689",$27.30M,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
500,Children of Men,(2006),109 min,7.9,84        ,"512,610",$35.55M,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
501,Wonder,(I) (2017),113 min,7.9,66        ,"170,949",$132.42M,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
502,Life of Pi,(2012),127 min,7.9,79        ,"646,699",$124.99M,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
503,Boyhood,(I) (2014),165 min,7.9,100        ,"360,537",$25.38M,"The life of Mason, from early childhood to his arrival at college."
504,District 9,(2009),112 min,7.9,81        ,"696,297",$115.65M,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
505,In a Lonely Place,(1950),94 min,7.9,****,"33,301",%^%^%^,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
506,The Blues Brothers,(1980),133 min,7.9,60        ,"206,347",$57.23M,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
507,Edward Scissorhands,(1990),105 min,7.9,74        ,"504,087",$56.36M,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.
508,Marriage Story,(2019),137 min,7.9,94        ,"325,816",$2.00M,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
509,All the President's Men,(1976),138 min,7.9,84        ,"120,592",$70.60M,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
510,Toy Story 2,(1999),92 min,7.9,88        ,"597,358",$245.85M,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
511,Per un pugno di dollari,(1964),99 min,7.9,65        ,"224,001",$14.50M,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
512,Bound by Honor,(1993),180 min,7.9,47        ,"32,762",$4.50M,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
513,Spartacus,(1960),197 min,7.9,87        ,"138,794",$30.00M,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
514,This Is Spinal Tap,(1984),82 min,7.9,92        ,"143,126",$4.74M,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
515,The Man from Earth,(2007),87 min,7.9,****,"192,963",%^%^%^,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
516,Carlito's Way,(1993),144 min,7.9,66        ,"224,922",$36.95M,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
517,Brazil,(1985),132 min,7.9,84        ,"205,585",$9.93M,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
518,Once Were Warriors,(1994),102 min,7.9,77        ,"35,616",$2.20M,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
519,Wo hu cang long,(2000),120 min,7.9,94        ,"276,024",$128.08M,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
520,The Nightmare Before Christmas,(1993),76 min,7.9,82        ,"352,476",$75.08M,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
521,The Ten Commandments,(1956),220 min,7.9,****,"74,519",$93.74M,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery."
522,The Searchers,(1956),119 min,7.9,94        ,"92,926",%^%^%^,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.
523,Nosferatu,(1922),94 min,7.9,****,"101,006",%^%^%^,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
524,Kôkaku kidôtai,(1995),83 min,7.9,76        ,"148,959",$0.52M,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
525,Before Midnight,(2013),109 min,7.9,94        ,"164,974",$8.11M,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
526,Doctor Zhivago,(1965),197 min,7.9,69        ,"79,561",$111.72M,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
527,In the Heat of the Night,(1967),110 min,7.9,76        ,"79,783",$24.38M,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case."
528,The Wrestler,(2008),109 min,7.9,80        ,"313,327",$26.24M,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
529,Låt den rätte komma in,(2008),114 min,7.9,82        ,"221,674",$2.12M,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
530,Serbuan maut 2: Berandal,(2014),150 min,7.9,71        ,"127,469",$2.63M,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
531,Charade,(1963),113 min,7.9,83        ,"81,402",$13.47M,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
532,A Streetcar Named Desire,(1951),122 min,7.9,97        ,"111,394",$8.00M,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
533,The Wild Bunch,(1969),145 min,7.9,98        ,"87,613",$12.06M,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
534,Ying xiong,(2002),120 min,7.9,85        ,"184,643",$53.71M,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
535,Dancer in the Dark,(2000),140 min,7.9,61        ,"113,228",$4.18M,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
536,A Christmas Story,(1983),93 min,7.9,77        ,"161,015",$20.61M,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
537,Harold and Maude,(1971),91 min,7.9,62        ,"79,664",%^%^%^,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
538,The Artist,(I) (2011),100 min,7.9,89        ,"245,070",$44.67M,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
539,King Kong,(1933),100 min,7.9,92        ,"88,058",$10.00M,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City."
540,Sing Street,(2016),106 min,7.9,79        ,"97,488",$3.24M,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
541,Notorious,(1946),102 min,7.9,100        ,"103,853",$10.46M,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
542,The Philadelphia Story,(1940),112 min,7.9,96        ,"71,608",%^%^%^,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
543,The Killing,(1956),84 min,7.9,91        ,"92,966",%^%^%^,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.
544,Manbiki kazoku,(2018),121 min,7.9,93        ,"81,012",$3.31M,"On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence."
545,Patton,(1970),172 min,7.9,86        ,"105,218",$61.70M,The World War II phase of the career of controversial American general George S. Patton.
546,Rope,(1948),80 min,7.9,73        ,"148,163",%^%^%^,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
547,The Manchurian Candidate,(1962),126 min,7.9,94        ,"77,373",%^%^%^,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.
548,Gegen die Wand,(2004),121 min,7.9,78        ,"55,927",%^%^%^,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
549,Togo,(2019),113 min,7.9,69        ,"52,129",%^%^%^,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race."
550,Mildred Pierce,(1945),111 min,7.9,88        ,"27,456",%^%^%^,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
551,The Big Sleep,(1946),114 min,7.9,86        ,"88,127",$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love."
552,Short Term 12,(2013),96 min,7.9,82        ,"89,700",$1.01M,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
553,Strangers on a Train,(1951),101 min,7.9,88        ,"137,141",$7.63M,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.
554,Cat on a Hot Tin Roof,(1958),108 min,7.9,84        ,"51,576",$17.57M,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
555,Trois couleurs: Bleu,(1993),94 min,7.9,87        ,"106,320",$1.32M,A woman struggles to find a way to live her life after the death of her husband and child.
556,The Adventures of Robin Hood,(1938),102 min,7.9,97        ,"52,934",$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement."
557,Amour,(2012),127 min,7.9,95        ,"103,095",$6.74M,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
558,Il conformista,(1970),113 min,7.9,100        ,"32,113",$0.54M,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
559,Laura,(1944),88 min,7.9,****,"49,216",$4.36M,A police detective falls in love with the woman whose murder he is investigating.
560,Arsenic and Old Lace,(1944),118 min,7.9,****,"72,853",%^%^%^,A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
561,Hable con ella,(2002),112 min,7.9,86        ,"115,099",$9.36M,Two men share an odd friendship while they care for two women who are both in deep comas.
562,Sacrifice,(1986),149 min,7.9,****,"29,672",$0.30M,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return."
563,In Cold Blood,(1967),134 min,7.9,89        ,"27,753",%^%^%^,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers."
564,Taeksi woonjunsa,(2017),137 min,7.9,69        ,"27,639",$1.53M,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him."
565,Darbareye Elly,(2009),119 min,7.9,87        ,"55,182",$0.11M,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
566,Hoje Eu Quero Voltar Sozinho,(2014),96 min,7.9,71        ,"26,606",$0.10M,"Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend Giovana, and the way he sees the world change completely with the arrival of Gabriel."
567,Harvey,(1950),104 min,7.9,****,"56,889",%^%^%^,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
568,My Name Is Khan,(2010),165 min,7.9,50        ,"111,086",$4.02M,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
569,Amarcord,(1973),123 min,7.9,****,"45,213",$0.58M,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
570,Kal Ho Naa Ho,(2003),186 min,7.9,54        ,"72,030",$1.79M,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
571,Kagemusha,(1980),180 min,7.9,84        ,"36,896",%^%^%^,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
572,C.R.A.Z.Y.,(2005),129 min,7.9,81        ,"33,584",%^%^%^,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
573,The Thin Man,(1934),91 min,7.9,86        ,"31,355",%^%^%^,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
574,Hiroshima mon amour,(1959),90 min,7.9,****,"34,094",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
575,"4 luni, 3 saptamâni si 2 zile",(2007),113 min,7.9,97        ,"61,959",$1.19M,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
576,Ascenseur pour l'échafaud,(1958),91 min,7.9,94        ,"27,191",$0.11M,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events."
577,Gully Boy,(2019),154 min,7.9,65        ,"41,459",$5.57M,A coming-of-age story based on the lives of street rappers in Mumbai.
578,Miracle on 34th Street,(1947),96 min,7.9,88        ,"51,262",$2.65M,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken."
579,Dev.D,(2009),144 min,7.9,****,"31,439",$0.01M,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
580,Le cercle rouge,(1970),140 min,7.9,92        ,"26,669",$0.37M,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist."
581,The Lost Weekend,(1945),101 min,7.9,****,"38,753",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
582,Vozvrashchenie,(2003),110 min,7.9,82        ,"46,451",$0.50M,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces."
583,Nueve reinas,(2000),114 min,7.9,80        ,"54,930",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
584,Sullivan's Travels,(1941),90 min,7.9,****,"27,554",%^%^%^,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.
585,Jab We Met,(2007),138 min,7.9,****,"55,812",$0.41M,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
586,La règle du jeu,(1939),110 min,7.9,99        ,"30,238",%^%^%^,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
587,Bronenosets Potemkin,(1925),75 min,7.9,97        ,"59,624",$0.05M,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
588,The Big Heat,(1953),89 min,7.9,****,"27,773",%^%^%^,Tough cop Dave Bannion takes on a politically powerful crime syndicate.
589,La Belle et la Bête,(1946),96 min,7.9,92        ,"27,262",$0.30M,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her."
590,Bin-jip,(2004),88 min,7.9,72        ,"56,662",$0.24M,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
591,Såsom i en spegel,(1961),90 min,7.9,84        ,"26,390",%^%^%^,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God."
592,Badhaai ho,(2018),124 min,7.9,****,"36,096",%^%^%^,A man is embarrassed when he finds out his mother is pregnant.
593,Super 30,(2019),154 min,7.9,****,"34,135",$2.27M,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
594,No Man's Land,(I) (2001),98 min,7.9,84        ,"47,966",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
595,Padman,(2018),140 min,7.9,****,"27,324",$1.66M,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
596,Baby,(I) (2015),159 min,7.9,****,"58,883",%^%^%^,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
597,Airlift,(2016),130 min,7.9,****,"57,893",%^%^%^,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
598,Everything Everywhere All at Once,(2022),139 min,7.8,81        ,"455,938",$72.86M,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
599,The Batman,(2022),176 min,7.8,72        ,"704,880",$369.35M,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
600,The Breakfast Club,(1985),97 min,7.8,66        ,"416,016",$45.88M,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.
601,Tombstone,(1993),130 min,7.8,50        ,"156,653",$56.51M,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
602,The Gentlemen,(2019),113 min,7.8,51        ,"362,460",$36.47M,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
603,Pride & Prejudice,(2005),129 min,7.8,82        ,"309,139",$38.41M,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
604,Im Westen nichts Neues,(2022),148 min,7.8,76        ,"209,136",%^%^%^,A young German soldier's terrifying experiences and distress on the western front during World War I.
605,The Hateful Eight,(2015),168 min,7.8,68        ,"625,649",$54.12M,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
606,Hot Fuzz,(2007),121 min,7.8,81        ,"518,503",$23.64M,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town."
607,Predator,(1987),107 min,7.8,47        ,"435,779",$59.74M,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
608,The Notebook,(2004),123 min,7.8,53        ,"589,593",$81.00M,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way."
609,Call Me by Your Name,(2017),132 min,7.8,94        ,"289,927",$18.10M,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
610,The Big Short,(2015),130 min,7.8,81        ,"448,756",$70.26M,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
611,Drive,(I) (2011),100 min,7.8,78        ,"666,972",$35.06M,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.
612,Get Out,(I) (2017),104 min,7.8,85        ,"643,342",$176.04M,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
613,RRR (Rise Roar Revolt),(2022),187 min,7.8,83        ,"151,817",$14.50M,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
614,Ghostbusters,(1984),105 min,7.8,71        ,"426,802",$238.63M,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
615,Moonrise Kingdom,(2012),94 min,7.8,84        ,"358,065",$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
616,Ferris Bueller's Day Off,(1986),103 min,7.8,61        ,"370,701",$70.14M,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that."
617,Dunkirk,(2017),106 min,7.8,94        ,"684,854",$188.37M,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
618,The Irishman,(2019),209 min,7.8,94        ,"405,450",$7.00M,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa."
619,Little Women,(2019),135 min,7.8,91        ,"220,360",$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
620,About Time,(I) (2013),123 min,7.8,55        ,"365,687",$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
621,Apocalypto,(2006),139 min,7.8,68        ,"320,755",$50.87M,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
622,Hidden Figures,(2016),127 min,7.8,74        ,"241,633",$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
623,Guess Who's Coming to Dinner,(1967),108 min,7.8,63        ,"47,091",$56.70M,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.
624,Atonement,(2007),123 min,7.8,85        ,"288,209",$50.93M,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
625,Rogue One,(2016),133 min,7.8,65        ,"659,523",$532.18M,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
626,The Social Network,(2010),120 min,7.8,95        ,"725,102",$96.96M,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business."
627,The Hobbit: An Unexpected Journey,(2012),169 min,7.8,58        ,"845,455",$303.00M,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
628,The Sandlot,(1993),101 min,7.8,55        ,"96,939",$32.42M,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
629,The Girl with the Dragon Tattoo,(2011),158 min,7.8,71        ,"475,419",$102.52M,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.
630,Verdens verste menneske,(2021),128 min,7.8,90        ,"80,964",%^%^%^,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
631,Nightcrawler,(2014),117 min,7.8,76        ,"571,739",$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
632,The Curious Case of Benjamin Button,(2008),166 min,7.8,70        ,"669,832",$127.51M,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
633,Star Wars: Episode VII - The Force Awakens,(2015),138 min,7.8,80        ,"949,003",$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
634,Captain America: Civil War,(2016),147 min,7.8,75        ,"814,677",$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
635,Willy Wonka & the Chocolate Factory,(1971),100 min,7.8,67        ,"209,944",$4.00M,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
636,Back to the Future Part II,(1989),108 min,7.8,57        ,"549,950",$118.50M,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
637,A Bronx Tale,(1993),121 min,7.8,80        ,"149,615",$17.27M,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
638,American Gangster,(2007),157 min,7.8,76        ,"437,738",$130.16M,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
639,The Outlaw Josey Wales,(1976),135 min,7.8,69        ,"76,846",$31.80M,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.
640,Little Miss Sunshine,(2006),101 min,7.8,80        ,"496,769",$59.89M,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
641,Taken,(I) (2008),90 min,7.8,51        ,"615,851",$145.00M,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
642,Captain Fantastic,(2016),118 min,7.8,72        ,"225,954",$5.88M,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
643,Remember the Titans,(2000),113 min,7.8,48        ,"222,941",$115.65M,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
644,Cast Away,(2000),143 min,7.8,73        ,"610,989",$233.63M,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
645,The Untouchables,(1987),119 min,7.8,79        ,"319,417",$76.27M,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him."
646,Captain Phillips,(2013),134 min,7.8,82        ,"474,742",$107.10M,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
