,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
51,The Intouchables,(2011),112 min,8.5,57        ,"884,185",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
52,Once Upon a Time in the West,(1968),165 min,8.5,82        ,"337,892",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
53,Hotaru no haka,(1988),89 min,8.5,94        ,"288,657",#45,A young boy and his little sister struggle to survive in Japan during World War II.
54,Rear Window,(1954),112 min,8.5,100        ,"503,086",$36.76M,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
55,Nuovo Cinema Paradiso,(1988),155 min,8.5,80        ,"269,246",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
56,Modern Times,(1936),87 min,8.5,96        ,"248,993",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
57,City Lights,(1931),87 min,8.5,99        ,"188,980",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
58,96,(II) (2018),158 min,8.5,****,"33,294",%^%^%^,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
59,Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        ,"593,727",$190.24M,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
60,Raiders of the Lost Ark,(1981),115 min,8.4,85        ,"991,748",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
61,Django Unchained,(2012),165 min,8.4,81        ,"1,605,137",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
62,Avengers: Endgame,(2019),181 min,8.4,78        ,"1,186,747",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
63,Joker,(I) (2019),122 min,8.4,59        ,"1,362,057",$335.45M,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
64,The Shining,(1980),146 min,8.4,66        ,"1,052,509",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
65,Oldeuboi,(2003),101 min,8.4,77        ,"598,374",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
66,Aliens,(1986),137 min,8.4,84        ,"734,284",$85.16M,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
67,The Dark Knight Rises,(2012),164 min,8.4,78        ,"1,746,816",$448.14M,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
68,Avengers: Infinity War,(2018),149 min,8.4,68        ,"1,129,673",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
69,Sunset Blvd.,(1950),110 min,8.4,94        ,"227,524",#60,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
70,Apocalypse Now,(1979),147 min,8.4,94        ,"683,821",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
71,Memento,(2000),113 min,8.4,81        ,"1,266,813",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
72,Idi i smotri,(1985),142 min,8.4,****,"86,612",#91,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
73,Coco,(I) (2017),105 min,8.4,81        ,"538,152",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
74,Hamilton,(2020),160 min,8.4,89        ,"102,282",#107,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
75,Kimi no na wa.,(2016),106 min,8.4,81        ,"288,961",$5.02M,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
76,WALL·E,(2008),98 min,8.4,95        ,"1,146,963",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
77,Amadeus,(1984),160 min,8.4,88        ,"410,697",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,8.4,97        ,"501,427",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
79,The Lives of Others,(2006),137 min,8.4,89        ,"397,400",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
80,Capharnaüm,(2018),126 min,8.4,75        ,"95,792",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
81,Das Boot,(1981),149 min,8.4,86        ,"256,156",$11.49M,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
82,3 Idiots,(2009),170 min,8.4,67        ,"412,017",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
83,Paths of Glory,(1957),88 min,8.4,90        ,"202,728",#61,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
84,Witness for the Prosecution,(1957),116 min,8.4,76        ,"129,970",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
85,Tengoku to jigoku,(1963),143 min,8.4,90        ,"48,070",#86,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
86,The Great Dictator,(1940),125 min,8.4,****,"229,256",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
87,Kaithi,(2019),145 min,8.4,****,"36,411",%^%^%^,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
88,Sardar Udham,(2021),164 min,8.4,****,"44,307",%^%^%^,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.
89,Asuran,(2019),141 min,8.4,****,"31,321",%^%^%^,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
90,Drishyam 2,(2021),152 min,8.4,****,"39,129",%^%^%^,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
91,Top Gun: Maverick,(2022),130 min,8.3,78        ,"598,646",$718.73M,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
92,Heat,(1995),170 min,8.3,76        ,"679,423",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
93,Inglourious Basterds,(2009),153 min,8.3,69        ,"1,497,020",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
94,Once Upon a Time in America,(1984),229 min,8.3,75        ,"361,372",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
95,Requiem for a Dream,(2000),102 min,8.3,71        ,"863,704",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
96,Full Metal Jacket,(1987),116 min,8.3,78        ,"760,754",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
97,Good Will Hunting,(1997),126 min,8.3,70        ,"1,007,091",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
98,American Beauty,(1999),122 min,8.3,84        ,"1,175,592",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
99,Scarface,(1983),170 min,8.3,65        ,"869,038",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
100,Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,89        ,"1,033,817",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
101,A Clockwork Orange,(1971),136 min,8.3,77        ,"849,897",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
102,2001: A Space Odyssey,(1968),149 min,8.3,84        ,"687,493",$56.95M,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
103,Braveheart,(1995),178 min,8.3,68        ,"1,057,782",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
104,Reservoir Dogs,(1992),99 min,8.3,81        ,"1,045,686",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
105,Toy Story,(1995),81 min,8.3,96        ,"1,021,752",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
106,Jagten,(2012),115 min,8.3,77        ,"342,731",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
107,Up,(2009),96 min,8.3,88        ,"1,073,295",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
108,Star Wars: Episode VI - Return of the Jedi,(1983),131 min,8.3,58        ,"1,080,472",$309.13M,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
109,Incendies,(2010),131 min,8.3,80        ,"184,904",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
110,Lawrence of Arabia,(1962),218 min,8.3,100        ,"301,954",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
111,Le fabuleux destin d'Amélie Poulain,(2001),122 min,8.3,69        ,"771,016",$33.23M,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
112,Mononoke-hime,(1997),134 min,8.3,76        ,"408,215",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
